State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Illinois,17,Pope,2773,-1.11E-16,0.048882476,-0.987511695,-0.005122563,-0.51757791,-0.309781496
Colorado,8,Phillips,2774,-8.67E-17,-0.240227829,-1.145183955,0.386593236,-1.101901118,0.217635172
Kansas,20,Stafford,2775,-1.28E-16,0.512050696,0.643770472,-0.166300086,0.237413057,0.123864712
Colorado,8,Ouray,2776,-3.90E-16,0.186957092,-0.058404859,0.533498698,0.032423358,-0.097976155
Wisconsin,55,Florence,2777,4.16E-17,-0.297585214,-0.460375113,0.126491903,-0.056519694,-0.329372109
North Carolina,37,Tyrrell,2778,4.68E-17,-0.34438779,-0.370079808,-0.069504332,0.141719085,-0.077480856
Texas,48,Crane,2779,1.06E-16,0.058909131,-0.821016226,0.075660996,-0.526427813,-0.337173243
Idaho,16,Custer,2780,-1.50E-16,0.075411576,0.110109726,0.168932556,0.533558323,-0.372346834
South Dakota,46,Deuel,2781,4.51E-17,0.287626061,0.131598989,-0.106176667,0.064247815,-0.318078948
Idaho,16,Oneida,2782,1.07E-16,0.050013794,0.027604952,0.324766266,0.19781602,-0.503587623
Colorado,8,Custer,2783,-2.15E-16,0.056040173,-0.206581574,0.474685072,-0.080085874,-0.069057868
Wisconsin,55,Menominee,2784,-7.63E-17,-0.206035483,0.748550303,0.800041448,1.005050407,0.182408645
Montana,30,Mineral,2785,9.58E-17,-0.257607265,0.575782038,0.036688123,0.878886071,-0.534735762
Oklahoma,40,Ellis,2786,-7.33E-17,0.082067452,-0.145451563,-0.035031722,-0.311385677,-0.14672436
Minnesota,27,Red Lake,2787,-1.73E-17,0.402792281,-1.356530061,0.423570852,-1.361415837,0.060208665
Washington,53,Columbia,2788,-7.81E-17,0.177646255,1.328564336,0.256934854,1.255801809,-0.034055072
South Dakota,46,Edmunds,2789,4.51E-17,-0.378897318,-0.248039472,0.100685318,0.369979063,-0.195192919
Minnesota,27,Lake of the Woods,2790,1.41E-16,0.496871493,0.400742784,0.307270745,0.395849857,-0.056163079
Georgia,13,Echols,2791,1.35E-16,0.309818551,0.225227037,0.260431771,0.245792418,-0.47302451
Iowa,19,Adams,2792,3.82E-17,-0.032967645,2.017077056,-0.144102182,1.888319782,-0.032171242
Nevada,32,Storey,2793,2.67E-16,0.369867026,-0.06710352,0.565185067,-0.120133613,-0.087826837
Washington,53,Wahkiakum,2794,1.13E-17,0.135019439,-0.434133655,0.057826589,-0.150680892,-0.5794925
